date,state,fips,cases,deaths,daily_cases,daily_deaths
2020-03-01,New York,36,1,0,0.0,0.0
2020-03-02,New York,36,1,0,0.0,0.0
2020-03-03,New York,36,2,0,1.0,0.0
2020-03-04,New York,36,11,0,9.0,0.0
2020-03-05,New York,36,22,0,11.0,0.0
2020-03-06,New York,36,44,0,22.0,0.0
2020-03-07,New York,36,89,0,45.0,0.0
2020-03-08,New York,36,106,0,17.0,0.0
2020-03-09,New York,36,142,0,36.0,0.0
2020-03-10,New York,36,173,0,31.0,0.0
2020-03-11,New York,36,217,0,44.0,0.0
2020-03-12,New York,36,326,0,109.0,0.0
2020-03-13,New York,36,421,0,95.0,0.0
2020-03-14,New York,36,610,2,189.0,2.0
2020-03-15,New York,36,732,6,122.0,4.0
2020-03-16,New York,36,950,10,218.0,4.0
2020-03-17,New York,36,1374,17,424.0,7.0
2020-03-18,New York,36,2382,27,1008.0,10.0
2020-03-19,New York,36,4152,30,1770.0,3.0
2020-03-20,New York,36,7102,57,2950.0,27.0
2020-03-21,New York,36,10356,80,3254.0,23.0
2020-03-22,New York,36,15168,122,4812.0,42.0
2020-03-23,New York,36,20875,159,5707.0,37.0
2020-03-24,New York,36,25665,218,4790.0,59.0
2020-03-25,New York,36,33066,325,7401.0,107.0
2020-03-26,New York,36,38987,432,5921.0,107.0
2020-03-27,New York,36,44635,535,5648.0,103.0
2020-03-28,New York,36,53363,782,8728.0,247.0
2020-03-29,New York,36,59568,965,6205.0,183.0
2020-03-30,New York,36,67174,1224,7606.0,259.0
